1204,14085,16378
23,27,26
57,133,252
87,7,390
71,97,659
86,77,910
28,12,378
44,53,1050
105,7,1072
46,41,914
8,97,963
16,42,1032
55,40,1189
110,63,773
10,98,487
83,28,40
109,10,483
59,20,284
63,88,428
42,40,184
16,14,822
52,94,401
61,65,486
80,37,330
89,39,753
78,41,796
54,27,1010
99,62,277
42,76,691
65,80,795
58,16,1
96,111,438
111,85,41
9,26,874
73,35,970
15,100,1031
71,119,420
80,121,117
37,37,776
53,13,157
88,130,1078
86,26,184
32,127,564
31,97,807
73,54,6
14,31,240
49,32,992
83,129,855
36,110,269
104,71,656
83,69,647
104,43,278
96,120,80
76,116,966
45,47,198
78,10,595
11,28,54
52,4,1036
36,6,7
22,59,458
107,50,497
107,74,246
16,98,102
89,39,413
16,105,454
3,45,730
63,86,891
84,110,386
58,37,576
78,81,326
26,88,548
79,98,584
45,63,968
111,74,414
48,44,1105
81,43,311
56,39,859
46,87,959
74,27,672
11,58,326
84,62,151
94,74,768
103,61,58
103,86,1041
93,80,108
46,44,593
47,108,1156
26,27,378
65,112,7
76,7,631
107,41,49
62,32,108
26,81,928
33,110,1042
25,80,784
98,81,64
82,33,1059
8,94,753
36,69,317
94,35,867
73,31,483
61,131,405
95,37,425
1,25,873
83,17,1185
11,2,723
77,96,279
110,129,966
75,117,731
48,31,875
95,55,406
6,88,705
54,93,755
37,4,392
81,96,78
18,47,683
74,30,598
77,21,662
57,92,335
69,119,126
84,56,57
72,24,929
45,91,571
46,86,389
113,47,823
105,35,293
85,67,621
5,105,9
27,23,312
91,76,1165
36,117,972
61,80,740
33,10,642
34,104,812
11,33,704
20,93,964
100,79,515
5,117,469
68,93,766
5,54,13
59,82,131
59,13,921
60,61,917
8,85,215
82,61,871
97,128,640
49,8,573
53,125,1179
63,37,7
49,127,1081
113,33,817
61,106,201
66,80,181
95,89,285
5,108,1149
29,44,501
77,101,892
13,84,407
62,8,817
15,131,987
88,14,623
100,13,469
58,26,800
65,38,435
44,82,480
28,57,151
3,40,1139
68,102,226
19,119,747
40,134,873
57,59,747
38,9,676
83,24,851
65,102,168
87,15,566
44,98,19
108,40,765
64,15,812
101,24,414
38,96,260
89,22,238
108,10,1011
86,7,653
97,71,293
49,63,652
93,114,775
83,106,183
70,55,835
11,127,399
109,62,1071
26,53,565
57,108,711
109,110,49
73,87,808
55,14,933
46,19,776
16,10,400
81,83,1117
8,23,911
58,115,162
59,108,717
76,84,157
90,126,800
110,117,32
70,12,168
56,18,361
106,95,961
79,110,468
65,70,936
63,58,759
96,60,1159
105,17,1015
9,111,582
75,84,251
113,25,244
36,14,632
91,79,42
53,79,184
39,111,1182
24,13,122
41,32,603
4,16,514
8,95,1162
35,55,374
94,37,95
68,96,759
22,34,506
30,102,1013
69,51,1027
94,78,361
100,118,874
44,40,464
82,128,80
90,33,482
65,67,217
84,87,376
9,101,139
41,3,1016
79,14,579
76,60,890
66,35,153
77,59,647
68,59,1180
80,120,917
65,56,11
3,94,313
77,118,887
63,100,993
22,69,1018
102,95,233
104,7,610
38,28,1192
32,121,70
74,19,248
39,52,1038
41,107,737
97,90,489
26,135,682
1,5,621
35,66,1113
80,95,884
91,107,1006
30,33,249
3,101,963
24,3,882
62,29,431
111,113,871
27,7,48
91,93,60
109,44,206
55,132,495
16,129,527
55,74,709
4,14,659
47,111,1102
70,3,1179
96,64,989
19,46,785
24,62,789
80,135,130
91,43,1102
5,74,930
45,10,81
34,9,801
89,127,880
21,112,277
15,25,797
9,15,1025
41,43,764
88,126,594
90,105,656
56,33,944
73,50,329
17,30,1144
105,73,496
18,53,483
106,4,758
49,78,983
52,97,251
8,93,274
16,86,166
66,70,341
14,39,838
109,74,552
111,133,1163
82,22,683
51,26,1117
27,114,1092
100,49,248
84,5,630
67,77,821
6,1,705
94,46,31
15,5,123
82,132,578
20,64,709
98,100,674
74,85,596
35,123,953
27,96,190
9,53,303
20,50,1175
90,124,1176
44,122,985
63,42,189
96,72,1042
50,94,1069
71,119,364
111,127,1136
22,101,121
92,79,757
100,7,775
98,72,726
58,54,670
71,64,1005
86,14,377
39,64,452
107,109,22
31,63,620
110,29,523
4,80,199
101,80,381
22,91,313
59,132,1200
31,125,358
39,1,490
54,31,1008
73,115,330
84,118,937
71,81,710
15,122,389
20,64,969
46,100,1064
60,75,512
7,112,599
44,90,1060
83,127,550
13,66,1187
69,55,893
103,21,864
62,78,90
78,52,90
78,13,545
57,127,324
61,129,807
48,78,26
90,47,247
104,121,797
16,3,505
39,78,83
8,68,701
20,133,1173
41,52,533
49,96,687
50,31,1200
22,80,642
37,25,994
83,16,971
59,87,826
48,73,437
76,46,628
45,58,529
79,49,1165
81,9,232
67,48,771
73,64,797
77,128,524
102,3,467
28,47,466
90,89,411
34,127,1020
10,104,444
6,6,963
65,68,277
66,84,147
73,20,915
20,119,205
3,101,713
107,104,380
16,20,104
7,123,845
73,55,150
40,68,706
32,79,513
100,15,533
24,44,484
31,83,243
73,83,933
20,36,230
30,21,1201
7,124,1086
83,69,712
61,127,256
115,39,773
20,121,354
86,22,771
18,98,541
106,118,640
102,58,361
107,62,173
108,13,418
68,30,805
61,20,724
98,92,458
22,37,388
65,62,863
56,58,124
64,15,518
64,19,59
43,113,96
34,82,584
8,9,238
34,79,811
72,30,17
5,41,55
8,98,722
25,44,1170
67,61,33
5,52,1186
106,6,97
72,21,383
61,76,91
104,17,245
15,36,1045
6,116,249
11,70,971
45,65,501
52,22,608
13,96,189
53,4,821
25,52,657
69,1,83
80,70,890
112,24,727
46,12,75
12,73,708
95,129,1047
21,72,673
77,24,1193
94,56,1023
106,60,110
60,124,1065
38,61,1026
16,54,1199
8,57,371
94,8,91
51,1,205
66,86,94
94,5,1019
114,126,1001
9,120,122
103,7,884
59,119,208
21,106,108
85,93,672
101,15,141
29,116,145
106,51,495
79,48,965
2,96,1058
5,46,626
3,9,615
103,24,437
66,41,213
104,36,268
10,113,1147
60,127,1110
84,100,93
82,22,616
80,29,845
108,68,201
34,19,537
66,97,751
6,133,1123
87,92,667
109,2,126
22,81,623
98,67,926
111,42,721
51,42,1082
115,28,1164
77,87,962
